@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
260,180,250,180,180,150,UP,LEFT,110,100,5,False,True,True,True,False,False,LEFT,LEFT,129,128
250,180,240,180,180,150,UP,LEFT,100,90,5,False,True,True,True,False,False,LEFT,LEFT,128,127
250,180,240,180,180,150,UP,LEFT,100,90,5,False,True,True,True,False,False,LEFT,LEFT,128,127
240,180,230,180,180,150,UP,LEFT,90,80,5,False,True,True,True,False,False,LEFT,LEFT,127,126
240,180,230,180,180,150,UP,LEFT,90,80,5,False,True,True,True,False,False,LEFT,LEFT,127,126
230,180,220,180,180,150,UP,LEFT,80,70,5,False,True,True,True,False,False,LEFT,LEFT,126,125
230,180,220,180,180,150,UP,LEFT,80,70,5,False,True,True,True,False,False,LEFT,LEFT,126,125
220,180,210,180,180,150,UP,LEFT,70,60,5,False,True,True,True,False,False,LEFT,LEFT,125,124
220,180,210,180,180,150,UP,LEFT,70,60,5,False,True,True,True,False,False,LEFT,LEFT,125,124
210,180,200,180,180,150,UP,LEFT,60,50,5,False,True,True,True,False,False,LEFT,LEFT,124,123
210,180,200,180,180,150,UP,LEFT,60,50,5,False,True,True,True,False,False,LEFT,LEFT,124,123
200,180,190,180,180,150,UP,LEFT,50,40,5,False,True,True,True,False,False,LEFT,LEFT,123,122
200,180,190,180,180,150,UP,LEFT,50,40,5,False,True,True,True,False,False,LEFT,LEFT,123,122
190,180,180,180,180,150,UP,LEFT,40,30,5,False,True,True,True,False,False,LEFT,LEFT,122,121
