@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,8,13'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
DOWN,EQUAL,60,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,90,True,False,False,True,False,RIGHT,RIGHT
UP,LEFT,560,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,230,True,False,True,False,False,RIGHT,RIGHT
UP,EQUAL,90,True,True,True,False,False,UP,UP
EQUAL,LEFT,130,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,300,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,170,True,False,True,True,False,RIGHT,RIGHT
DOWN,RIGHT,100,True,False,False,True,False,RIGHT,RIGHT
UP,RIGHT,360,True,False,True,True,True,RIGHT,RIGHT
DOWN,RIGHT,180,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,340,True,True,False,True,False,DOWN,DOWN
UP,LEFT,160,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,30,True,True,False,True,False,DOWN,DOWN
DOWN,RIGHT,250,True,True,True,False,False,UP,UP
DOWN,RIGHT,160,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,190,True,True,True,False,False,UP,UP
UP,LEFT,460,True,True,True,False,False,UP,UP
DOWN,LEFT,210,False,True,True,True,False,LEFT,LEFT
EQUAL,EQUAL,100,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,400,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,100,True,True,False,True,False,DOWN,DOWN
UP,LEFT,560,True,True,False,True,False,DOWN,DOWN
UP,RIGHT,220,True,False,True,True,False,RIGHT,UP
EQUAL,LEFT,150,True,True,False,True,False,DOWN,LEFT
UP,LEFT,250,False,True,True,True,False,LEFT,LEFT
